# Wavenumber	Transmittence
1886.56	0.988400
1680.31	0.984400
1797.50	0.991400
1788.13	0.988000
1816.25	0.994800
1741.25	0.984000
1717.81	0.982400
1760.00	0.983200
1727.19	0.985000
1806.88	0.994000
1877.19	0.991200
1783.44	0.988000
1830.31	0.995000
1685.00	0.985600
1731.88	0.984800
1694.38	0.986400
1755.31	0.984000
1867.81	0.992800
1708.44	0.985200
1811.56	0.994000
1858.44	0.996600
1699.06	0.986000
1825.63	0.996600
1835.00	0.995000
1802.19	0.994000
1713.13	0.982800
1778.75	0.988000
1722.50	0.984400
1863.13	0.994200
1872.50	0.992000
1689.69	0.988000
1792.81	0.988400
1881.88	0.989400
1839.69	0.995000
1764.69	0.982000
1736.56	0.984000
1849.06	0.997000
1844.38	0.995000
1853.75	0.997200
1769.38	0.982800
1703.75	0.986000
1745.94	0.984000
1820.94	0.995800
1750.63	0.984000
1774.06	0.985200
