# Wavenumber Transmittence
3447.50 1.000940
3274.06 1.004700
3320.94 1.007000
3395.94 1.001000
3306.88 1.007000
3438.13 1.001580
3470.94 1.000000
3325.63 1.007000
3349.06 1.006480
3297.50 1.007000
3292.81 1.006980
3410.00 1.001420
3278.75 1.005000
3433.44 1.002760
3264.69 1.002600
3452.19 1.000040
3344.38 1.007000
3442.81 1.001000
3377.19 1.004780
3405.31 1.001000
3456.88 0.999900
3283.44 1.005000
3428.75 1.004000
3372.50 1.003800
3339.69 1.007000
3358.44 1.005000
3335.00 1.007000
3400.63 1.001000
3424.06 1.004000
3414.69 1.002000
3353.75 1.005000
3367.81 1.005000
3302.19 1.007000
3288.13 1.005180
3461.56 0.998100
3466.25 0.998800
3330.31 1.007000
3363.13 1.005000
3485.00 1.001000
3316.25 1.007000
3419.38 1.003640
3311.56 1.007000
3475.63 1.000380
3386.56 1.002540
3269.38 1.004400
3391.25 1.001900
3480.31 1.001000
3381.88 1.003860
