# Wavenumber Transmittence
780.31 0.993800
789.69 0.988600
827.19 0.985800
794.38 0.986800
799.06 0.985000
770.94 1.000800
738.13 1.007400
747.50 1.007400
860.00 0.862200
864.69 0.821200
874.06 0.803000
855.31 0.912600
841.25 0.978400
831.88 0.984400
733.44 1.009000
813.13 0.985000
742.81 1.007000
785.00 0.991400
869.38 0.796200
766.25 1.004000
836.56 0.981400
822.50 0.986000
850.63 0.945800
808.44 0.984800
803.75 0.984000
845.94 0.969200
756.88 1.006200
817.81 0.985400
761.56 1.005000
752.19 1.006200
775.63 0.998000
