# Wavenumber,Transmittence
564.69,0.981200
541.25,0.970000
513.13,0.969400
630.31,1.002400
635.00,1.004200
470.94,0.968800
555.31,0.974400
574.06,0.985600
466.25,0.968000
578.75,0.988200
602.19,0.994800
588.13,0.991400
592.81,0.992400
545.94,0.970000
536.56,0.970000
569.38,0.983200
616.25,0.998800
550.63,0.972000
461.56,0.966000
560.00,0.978000
583.44,0.988800
522.50,0.969000
489.69,0.972000
485.00,0.972000
499.06,0.970400
494.38,0.972000
620.94,1.000400
531.88,0.969000
611.56,0.997200
503.75,0.970000
606.88,0.995400
475.63,0.969400
625.63,1.001200
480.31,0.970000
597.50,0.994000
508.44,0.970000
517.81,0.969000
527.19,0.969000
