# Wavenumber Transmittence
935.00 0.986200
789.69 0.988600
770.94 1.000800
803.75 0.984000
841.25 0.978400
958.44 0.989600
878.75 0.773480
963.13 0.986800
874.06 0.803000
766.25 1.004000
738.13 1.007400
888.13 0.772040
906.88 0.846960
780.31 0.993800
747.50 1.007400
813.13 0.985000
785.00 0.991400
869.38 0.796200
808.44 0.984800
892.81 0.761400
799.06 0.985000
902.19 0.798200
850.63 0.945800
845.94 0.969200
775.63 0.998000
930.31 0.983400
756.88 1.006200
827.19 0.985800
822.50 0.986000
817.81 0.985400
752.19 1.006200
897.50 0.777400
831.88 0.984400
883.44 0.777200
864.69 0.821200
920.94 0.963400
742.81 1.007000
953.75 0.992200
944.38 0.992800
916.25 0.938800
761.56 1.005000
925.63 0.976000
911.56 0.903400
836.56 0.981400
949.06 0.994000
939.69 0.990000
855.31 0.912600
794.38 0.986800
860.00 0.862200
