# Wavenumber Transmittence
2383.44 0.997700
2411.56 0.993400
2392.81 0.997000
2467.81 0.997000
2355.31 1.000340
2463.13 0.997000
2444.38 0.995000
2350.63 0.997660
2322.50 1.001000
2430.31 0.994000
2317.81 1.001000
2327.19 1.000660
2369.38 1.001000
2374.06 1.000300
2453.75 0.995180
2425.63 0.992200
2388.13 0.997000
2402.19 0.995600
2449.06 0.995000
2420.94 0.992000
2364.69 1.001000
2472.50 0.997860
2416.25 0.992000
2341.25 0.994240
2477.19 0.998000
2360.00 1.001000
2406.88 0.994900
2378.75 0.999760
2336.56 0.997200
2435.00 0.994000
2397.50 0.997000
2345.94 0.994340
2331.88 0.999720
2439.69 0.994300
2313.13 1.001000
2458.44 0.996980
