# Wavenumber	Transmittence
2767.81	0.919500
2875.63	0.428260
2805.31	0.878500
2838.13	0.790080
2758.44	0.925860
2889.69	0.347080
2870.94	0.464620
2856.88	0.631340
2824.06	0.845640
2847.50	0.702700
2781.88	0.908820
2800.63	0.885200
2819.38	0.854560
2842.81	0.759640
2777.19	0.914220
2763.13	0.922500
2814.69	0.864300
2795.94	0.890460
2852.19	0.669460
2861.56	0.562760
2791.25	0.895560
2810.00	0.871900
2786.56	0.902220
2880.31	0.393660
2866.25	0.513540
2828.75	0.831620
2833.44	0.813300
2772.50	0.916600
2885.00	0.370500
