# Wavenumber,Transmittence
1544.38,0.990400
1605.31,0.988800
1572.50,0.993200
1567.81,0.991400
1675.63,0.986200
1530.31,0.982800
1581.88,0.992600
1474.06,0.872400
1591.25,0.988800
1502.19,0.938200
1558.44,0.990200
1642.81,0.988000
1549.06,0.993200
1516.25,0.964800
1483.44,0.894200
1595.94,0.990600
1624.06,0.987600
1577.19,0.989600
1497.50,0.930400
1661.56,0.988600
1511.56,0.957600
1563.13,0.993200
1633.44,0.988000
1638.13,0.988000
1539.69,0.987800
1670.94,0.988000
1652.19,0.984200
1647.50,0.987200
1553.75,0.990400
1525.63,0.977800
1492.81,0.915400
1666.25,0.989000
1628.75,0.989400
1478.75,0.877800
1586.56,0.994800
1506.88,0.946000
1656.88,0.985400
1680.31,0.984400
1619.38,0.986200
1488.13,0.905200
1520.94,0.970800
1535.00,0.985200
1600.63,0.990200
1610.00,0.989400
1614.69,0.988000
