# Wavenumber,Transmittence
1272.50,0.814200
1174.06,0.945200
1300.63,0.899000
1206.88,0.848400
1160.00,0.959000
1249.06,0.623400
1178.75,0.930800
1216.25,0.750440
1244.38,0.655800
1310.00,0.899000
1258.44,0.663800
1197.50,0.890000
1263.13,0.715760
1202.19,0.875200
1239.69,0.671620
1291.25,0.892200
1277.19,0.846200
1281.88,0.869800
1235.00,0.678580
1314.69,0.897200
1295.94,0.896800
1164.69,0.956600
1225.63,0.657200
1183.44,0.923600
1253.75,0.642400
1305.31,0.899000
1267.81,0.765600
1169.38,0.952800
1230.31,0.652200
1286.56,0.880600
1211.56,0.808200
1188.13,0.917000
1220.94,0.694800
1192.81,0.903200
