# Wavenumber	Transmittence
1633.44	0.988000
1694.38	0.986400
1549.06	0.993200
1539.69	0.987800
1647.50	0.987200
1666.25	0.989000
1586.56	0.994800
1516.25	0.964800
1535.00	0.985200
1708.44	0.985200
1685.00	0.985600
1610.00	0.989400
1511.56	0.957600
1567.81	0.991400
1703.75	0.986000
1689.69	0.988000
1619.38	0.986200
1680.31	0.984400
1581.88	0.992600
1661.56	0.988600
1652.19	0.984200
1614.69	0.988000
1506.88	0.946000
1520.94	0.970800
1553.75	0.990400
1595.94	0.990600
1656.88	0.985400
1572.50	0.993200
1591.25	0.988800
1699.06	0.986000
1563.13	0.993200
1624.06	0.987600
1628.75	0.989400
1638.13	0.988000
1642.81	0.988000
1525.63	0.977800
1530.31	0.982800
1605.31	0.988800
1670.94	0.988000
1544.38	0.990400
1558.44	0.990200
1675.63	0.986200
1600.63	0.990200
1577.19	0.989600
