# Wavenumber Transmittence
3663.13 0.705100
3602.19 0.975200
3597.50 0.980200
3700.63 0.961140
3686.56 0.824740
3606.88 0.968020
3695.94 0.937620
3738.13 1.000000
3672.50 0.750700
3681.88 0.776900
3756.88 1.001000
3620.94 0.919380
3583.44 0.988080
3691.25 0.892940
3611.56 0.956740
3733.44 1.000000
3616.25 0.941820
3766.25 1.000000
3677.19 0.756400
3630.31 0.864940
3625.63 0.898060
3639.69 0.791760
3747.50 1.001000
3588.13 0.986180
3653.75 0.724980
3724.06 1.000460
3714.69 0.991960
3710.00 0.988260
3658.44 0.713460
3742.81 1.000860
3667.81 0.745420
3635.00 0.836280
3719.38 0.998960
3770.94 0.999080
3644.38 0.746200
3705.31 0.976000
3592.81 0.984180
3761.56 1.000540
3649.06 0.726180
3752.19 1.001000
3728.75 1.000340
