# Wavenumber	Transmittence
541.25	0.970000
536.56	0.970000
555.31	0.974400
597.50	0.994000
470.94	0.968800
574.06	0.985600
592.81	0.992400
531.88	0.969000
564.69	0.981200
466.25	0.968000
644.38	1.007000
649.06	1.007800
611.56	0.997200
545.94	0.970000
480.31	0.970000
639.69	1.005000
653.75	1.007400
522.50	0.969000
461.56	0.966000
602.19	0.994800
475.63	0.969400
494.38	0.972000
499.06	0.970400
485.00	0.972000
588.13	0.991400
503.75	0.970000
508.44	0.970000
489.69	0.972000
635.00	1.004200
569.38	0.983200
513.13	0.969400
560.00	0.978000
550.63	0.972000
625.63	1.001200
517.81	0.969000
630.31	1.002400
527.19	0.969000
606.88	0.995400
620.94	1.000400
658.44	1.006600
578.75	0.988200
583.44	0.988800
616.25	0.998800
