# Wavenumber,Transmittence
1849.06,0.997000
1835.00,0.995000
1755.31,0.984000
1689.69,0.988000
1680.31,0.984400
1656.88,0.985400
1713.13,0.982800
1670.94,0.988000
1741.25,0.984000
1760.00,0.983200
1661.56,0.988600
1825.63,0.996600
1797.50,0.991400
1750.63,0.984000
1844.38,0.995000
1722.50,0.984400
1675.63,0.986200
1717.81,0.982400
1727.19,0.985000
1736.56,0.984000
1685.00,0.985600
1666.25,0.989000
1820.94,0.995800
1839.69,0.995000
1708.44,0.985200
1774.06,0.985200
1783.44,0.988000
1802.19,0.994000
1778.75,0.988000
1792.81,0.988400
1764.69,0.982000
1811.56,0.994000
1806.88,0.994000
1699.06,0.986000
1694.38,0.986400
1745.94,0.984000
1731.88,0.984800
1816.25,0.994800
1788.13,0.988000
1703.75,0.986000
1769.38,0.982800
1830.31,0.995000
