# Wavenumber	Transmittence
1136.56	0.923000
1141.25	0.935800
1220.94	0.694800
1267.81	0.765600
1188.13	0.917000
1206.88	0.848400
1235.00	0.678580
1230.31	0.652200
1150.63	0.954200
1225.63	0.657200
1258.44	0.663800
1239.69	0.671620
1155.31	0.957800
1145.94	0.947000
1272.50	0.814200
1263.13	0.715760
1160.00	0.959000
1244.38	0.655800
1178.75	0.930800
1253.75	0.642400
1249.06	0.623400
1192.81	0.903200
1169.38	0.952800
1202.19	0.875200
1216.25	0.750440
1183.44	0.923600
1197.50	0.890000
1211.56	0.808200
1174.06	0.945200
1164.69	0.956600
